Job Titles,Employees,Industry,City,State,Country,Date Post,Job Skills
Account Specialist -TP,"10,001+ employees ", Software Development,Petaling Jaya, Selangor, Malaysia,12/9/2023,"Analytical Skills and Communication,Accounts Payable (AP), Accounts Receivable (AR), Attention to Detail, Finance, Ledger Management, PTP, Revenue Accounting, and Vendor Management"
Account&Admin Assistant,51-200 employees , Telecommunications,Shah Alam, Selangor, Malaysia,1/12/2024,"Accounting Software, Databases, and Problem Solving,Accounts Payable & Receivable, Accounts Payable (AP), Attention to Detail, Data Entry, Financial Operations, Financial Transactions, and MYOB"
"Accounting, Compliance & Reporting, Associate","10,001+ employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/11/2024,"Accounting Standards, Compliance Management, Due Diligence, Mechanical Maintenance, Oral Communication, Statutory, and Tax Compliance,Communication, Problem Solving, and Regulatory Compliance"
Ad Operation Executive,201-500 employees , Advertising Services,Petaling Jaya, Selangor, Malaysia,12/6/2023,"Analytical Skills and Data Analysis,A/B Testing, Advertising, Google Ads, Google Analytics, Performance Analysis, Reporting & Analysis, Statistical Data Analysis, and Web Analytics"
Admin Assistant,51-200 employees , Financial Services,Petaling Jaya, Selangor, Malaysia,1/4/2024,"Communication,Communication Training, English, General Administration, Interpersonal Communication, Interpersonal Skills, Oral Communication, Phone Etiquette, Presentations, and Receptionist Duties"
Admin Assistant,"10,001+ employees ", Pharmaceutical Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/9/2024,"Communication and Problem Solving,Event Management, HP Products, Phone Etiquette, Purchase Orders, Receptionist Duties, Therapeutic Areas, Workload Prioritization, and Written Communication"
"Admin, Cross Border (Shipper)","10,001+ employees ", Truck Transportation,Subang Jaya, Selangor, Malaysia,1/8/2024,"Communication,Administrative Assistance, Daily Reports, Interpersonal Skills, Mandarin, Organization Skills, PSAT, Quiz, Third-Party Logistics (3PL), and Troubleshooting"
Administrative Assistant,51-200 employees , Media Production,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/26/2023,"Communication,Administrative Assistance, Computer Literacy, Data Entry, Malay, Office Equipment, Organization Skills, Phone Etiquette, Receptionist Duties, and SPM"
Administrative Assistant,"10,001+ employees ", Real Estate,Ipoh, Perak, Malaysia,1/12/2024,"Basic Accounting, Command, English, Figures, Grammar, Itineraries, Punctuation, and Spelling,Analytical Skills and Problem Solving"
Administrative Coordinator,11-50 employees, Civil Engineering,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/4/2024,"Communication and Problem Solving,Administration, Administrative Management, Chinese, and Organization Skills"
Administrative Executive,11-50 employees , Wellness and Fitness Services,Petaling Jaya, Selangor, Malaysia,1/3/2024,"Problem Solving,Administrative Assistance, Computer Literacy, Documentation, Malay, Mandarin, Office Administration, SPM, Travel Arrangements, and Well Completion"
Administrative Executive,11-50 employees , IT Services and IT Consulting,Petaling Jaya, Selangor, Malaysia,1/3/2024,"Administrative Assistance, Handle Confidential Information, Mandarin, Office Administration, Professional Manner, RMA, Skilled Multi-tasker, Travel Arrangements, and Written Communication,"
Administrative Executive,11-50 employees , Retail Apparel and Fashion,Petaling Jaya, Selangor, Malaysia,12/19/2023,"Administrative Assistance, Disciplinary Action, Human Resources (HR), Labor Relations, Labor and Employment Law, Mandarin, Office Administration, Payroll Administration, Statutory, and Travel Arrangements,Administrative Assistance, Disciplinary Action, Human Resources (HR), Labor Relations, Labor and Employment Law, Mandarin, Office Administration, Payroll Administration, Statutory, and Travel Arrangements"
Administrator - Data Management & Reporting,"1,001-5,000 employees ", Accounting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/18/2023,"Excel Formulas, Pivot Tables, Professional Skills, Query Writing, and Strategy to Execution,"
Advanced Field Service Engineer,"10,001+ employees "," Appliances, Electrical, and Electronics Manufacturing",Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/19/2023,"Site Inspections,Account Planning, Customer Satisfaction, Debt Recovery, External Audits, Field Service Management, Health and Safety Executive (HSE), Oracle Financials, Product Knowledge, and Quotations"
Advanced Materials Engineer,"501-1,000 employees ", Oil and Gas,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/25/2023,"Corrosion, Failure Analysis, Gas Industry, Metallurgy, Oil and Gas, Oil and Gas Industry, Reliability, and Scanning Electron Microscopy (SEM),Material Selection and Materials Science"
Airfreight Junior Executive,"10,001+ employees "," Transportation, Logistics, Supply Chain and Storage",Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/27/2023,"Microsoft Excel, Microsoft PowerPoint, Problem Solving, and Teamwork,Air Freight, Government Regulations, Logistics Management, Marketing, Sales Contracts, and Sales Negotiation"
AML Operation Analyst,"501-1,000 employees ", Financial Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/3/2024,"Anti-Money Laundering, Attention to Detail, Counter-Terrorist Financing, Interpersonal Skills, Transaction Monitoring, and Work Instructions,Analytical Skills, Communication, Data Analysis, and Research Skills"
Analyst,"10,001+ employees ", Business Consulting and Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/11/2024,"Blueprinting, Design Documents, Functional Analysis, Functional Configuration, Functional Design, Implementation Methodology, Process Design, Prototyping, Requirements Gathering, and System Configuration,Blueprinting, Design Documents, Functional Analysis, Functional Configuration, Functional Design, Implementation Methodology, Process Design, Prototyping, Requirements Gathering, and System Configuration"
Analyst,1-10 employees, IT Services and IT Consulting,Skudai, Johor, Malaysia ,12/18/2023,"Computer Science, Oral Communication, and Skilled Multi-tasker,"
Analyst,"10,001+ employees ", Banking,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/5/2023,"Analytical Skills · Communication · Post Campaign Analysis,Analytical Skills · Communication · Post Campaign Analysis"
Analyst,"1,001-5,000 employees ", Financial Services,Taman Pulau Pinang,Pulau Pinang, Malaysia,1/5/2024,"Analytical Skills · Communication,Analytical Skills · Communication"
Analyst,"1,001-5,000 employees",Banking,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/2/2024,"Data Integrity, Employee Benefits, Events, Financial Services, Fund Management, Interpersonal Communication, Interpersonal Skills, Offboarding, Operations, and Settlement,"
Analyst,51-200 employees , Financial Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/19/2023,"Account Management, Creative Agencies, English, Marketing, Medical Marketing, Presentation Skills, Presentations, Press Releases, and Public Relations,"
Analyst,"1,001-5,000 employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,11/28/2023,"Business Requirements and Project Plans,Analytical Skills and Communication"
Analyst - Organization Transformation,"10,001+ employees ", Business Consulting and Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/4/2023,"Analyze Information, Financial Operations, Oral Communication, Presentations, Psychology, Resource Management, and Sociology,Analytical Skills, Communication, and Problem Solving"
Analyst - PMO (SAP),"10,001+ employees ", Business Consulting and Services,Penang,Pulau Pinang, Malaysia,1/7/2024,"Business Design, Implementation Methodology, Process Analysis, Reporting Requirements, SAP Configuration, SAP Implementation, SAP Products, Statutory Accounting Principles (SAP), and Training Material,"
"Analyst, Customer Support","1,001-5,000 employees ", Financial Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/15/2023,"Communication,Cantonese, Customer Experience, Customer Service, Customer Support, Help Desk Support, Key Performance Indicators, Oral Communication, Service-Level Agreements (SLA), and Skilled Multi-tasker"
"Analyst, Digital Customer Experience","1,001-5,000 employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/11/2024,"Customer Experience, Customer Satisfaction, Customer Support, Technical Specs, Test Cases, Unit Testing, and Web Applications,Analytical Skills, Microsoft Outlook, and Problem Solving"
"Analyst, Digital Customer Experience","1,001-5,000 employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/11/2023,"Customer Experience, Customer Satisfaction, Customer Support, Technical Specs, Test Cases, Unit Testing, and Web Applications,"
