,Job Titles,Employees,Industry,City,State,Country,Date Post,Job Skills
0,"Analyst, Digital Customer Experience","1,001-5,000 employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/3/2024,"Customer Experience, Customer Satisfaction, Customer Support, Technical Specs, Test Cases, Unit Testing, and Web Applications,Analytical Skills, Microsoft Outlook, and Problem Solving"
1,"Analyst, Digital Customer Experience","1,001-5,000 employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/4/2024,"Customer Experience, Customer Satisfaction, Customer Support, Technical Specs, Test Cases, Unit Testing, and Web Applications,"
2,Experienced Associate - Level 1 Support - AI & Data,"10,001+ employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/29/2023,"Customer Service, Customer-Focused Service, Documentation, Enquiries, System Performance, and Troubleshooting,Communication, Data Analytics, Problem Solving, and Quality Assurance"
3,Associate I - Business Analysis,"10,001+ employees ", IT Services and IT Consulting,Cyberjaya, Selangor, Malaysia,12/18/2023,"Business Analysis, Document Analysis, Flow Diagrams, Process Flow Diagrams, Requirements Engineering, Requirements Workshops, Software Requirements, State Diagrams, and Template Design,Technical Requirements"
4,"Executive, Planning Strategy",201-500 employees , Telecommunications,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/3/2023,"Analytical Skills, Communication, Problem Solving, Skill Development, and Teamwork,Analytical Skills, Communication, Problem Solving, Skill Development, and Teamwork"
5,Quality Administrator,"10,001+ employees ", Oil and Gas,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/10/2024,"Quality Assurance · Quality Control · Problem Solving · Communication · ISO 9001 · Document Management · Customer Requirements · Internal Audits · Attention to Detail · Telephone Manner,"
6,"Analyst/Associate Consultant, Primary Intelligence","10,001+ employees ", Hospitals and Health Care,Selangor,Selangor, Malaysia,11/27/2023,"Analytical Skills, Communication, and Project Management,English, Healthcare, Market Analysis, Presentations, Secondary Research, Spoken English, and Statistics"
7,Junior Analyst (MY MDQC and sub-task – creation),"5,001-10,000 employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/13/2024,"Cascading Style Sheets (CSS), Data Integrity, Data Processing, Financial Analysis, Market Data, and Team Leadership,Analytical Skills, Communication, Microsoft Outlook, and Problem Solving"
8,Data Scientist (Analytics),"5,001-10,000 employees ", Software Development,Petaling Jaya, Selangor, Malaysia,12/8/2023,"Computer Science, Key Metrics, Natural Language Processing (NLP), Predictive Analytics, and Unstructured Data,"
9,Test Analyst,"10,001+ employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia ,1/8/2024,"Business Requirements, Computer Science, Integration Testing, Manual Testing, Software Testing, System Testing, Test Cases, and Test Strategy,"
10,Data Analyst,"10,001+ employees ", Truck Transportation,Subang Jaya, Selangor, Malaysia,1/10/2024,"Computer Science, Google Sheets, Key Performance Indicators, Root Cause, Statistical Analysis, and Visualization,"
11,Contract Analyst,"10,001+ employees ", Business Consulting and Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/4/2024,"Commercial Contracts, Contract Management, Contract Negotiation, Documentation, Subcontracts, and Written Communication,"
12,Game Project Coordinator / MY,51-200 employees , Computer Games,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/9/2024,"Common Sense, Hansoft, Jira, Negotiation, Office Apps, Project Coordination, and Project Implementation,"
13,Data Analyst,"5,001-10,000 employees ", Software Development,Petaling Jaya, Selangor, Malaysia,12/13/2023,"Dashboards, Key Metrics, Mathematics, Oral Communication, Statistical Analysis, and Unstructured Data,"
14,Data Engineering,"10,001+ employees ", Semiconductor Manufacturing,Seremban, Negeri Sembilan, Malaysia,12/29/2023,"Problem Solving · Databases · SQL · Big Data · Data Analysis · Technical Documentation · Critical Thinking · Data Analytics · Thinking Skills · Spotfire,"
